toYear,fromYear,variable,gcm,Avgtemp-a2,Avgtemp-b1
1939,1920,tas,bccr_bcm2_0,22.96464199,22.96464199
1959,1940,tas,bccr_bcm2_0,23.05221812,23.05221812
1979,1960,tas,bccr_bcm2_0,23.13208771,23.13208771
1999,1980,tas,bccr_bcm2_0,23.48706309,23.48706309
2039,2020,tas,bccr_bcm2_0,24.3034278,24.19216198
2059,2040,tas,bccr_bcm2_0,24.94887246,24.59704336
2079,2060,tas,bccr_bcm2_0,25.7443161,24.93924798
2099,2080,tas,bccr_bcm2_0,27.16840702,25.36588499
