toYear,fromYear,variable,gcm,Acgtemp-a2,Avgtemp-b1
1939,1920,tas,bccr_bcm2_0,3.239116117,3.239116117
1959,1940,tas,bccr_bcm2_0,3.256478008,3.256478008
1979,1960,tas,bccr_bcm2_0,3.344954942,3.344954942
1999,1980,tas,bccr_bcm2_0,3.45442797,3.45442797
2039,2020,tas,bccr_bcm2_0,4.359835073,4.153142327
2059,2040,tas,bccr_bcm2_0,4.840240177,4.584140175
2079,2060,tas,bccr_bcm2_0,5.731578827,4.921024222
2099,2080,tas,bccr_bcm2_0,6.80882986,5.266772019
