gcm,fromYear,toYear,variable,Avg temperature a2,Avg temperature b1
bccr_bcm2_0,1920,1939,tas,9.465549723,9.465549723
bccr_bcm2_0,1940,1959,tas,9.620061239,9.620061239
bccr_bcm2_0,1960,1979,tas,9.754431152,9.754431152
bccr_bcm2_0,1980,1999,tas,9.792918905,9.792918905
bccr_bcm2_0,2020,2039,tas,10.76220805,10.67002869
bccr_bcm2_0,2040,2059,tas,11.45366109,11.16023865
bccr_bcm2_0,2060,2079,tas,12.58394775,11.62511597
bccr_bcm2_0,2080,2099,tas,13.70953369,11.95473531
