toYear,fromYear,variable,gcm,Avgtemp-a2,Avgtemp-b1
1939,1920,tas,bccr_bcm2_0,-10.28019568,-10.28019568
1959,1940,tas,bccr_bcm2_0,-10.25234428,-10.25234428
1979,1960,tas,bccr_bcm2_0,-10.14366532,-10.14366532
1999,1980,tas,bccr_bcm2_0,-9.905965785,-9.905965785
2039,2020,tas,bccr_bcm2_0,-8.701933222,-8.81153215
2059,2040,tas,bccr_bcm2_0,-7.696379787,-8.214746527
2079,2060,tas,bccr_bcm2_0,-5.92374992,-7.410896174
2099,2080,tas,bccr_bcm2_0,-4.443280979,-7.212172634
