toYear,fromYear,variable,gcm,Avgtemp-a2,Avgtemp-b1
1939,1920,tas,bccr_bcm2_0,-9.838817559,-9.838817559
1959,1940,tas,bccr_bcm2_0,-9.620184326,-9.620184326
1979,1960,tas,bccr_bcm2_0,-9.591888628,-9.591888628
1999,1980,tas,bccr_bcm2_0,-9.044501233,-9.044501233
2039,2020,tas,bccr_bcm2_0,-8.620826546,-8.310425205
2059,2040,tas,bccr_bcm2_0,-7.656976869,-8.173509016
2079,2060,tas,bccr_bcm2_0,-6.140650465,-7.074591815
2099,2080,tas,bccr_bcm2_0,-4.806929516,-7.111226366
