toYear,fromYear,variable,gcm,Avgtemp-a2,Avgtemp-b1
1939,1920,tas,bccr_bcm2_0,21.62587992,21.62587992
1959,1940,tas,bccr_bcm2_0,21.72297741,21.72297741
1979,1960,tas,bccr_bcm2_0,21.77610488,21.77610488
1999,1980,tas,bccr_bcm2_0,22.19486491,22.19486491
2039,2020,tas,bccr_bcm2_0,23.01919192,22.9030798
2059,2040,tas,bccr_bcm2_0,23.68447513,23.22405497
2079,2060,tas,bccr_bcm2_0,24.4832444,23.49525016
2099,2080,tas,bccr_bcm2_0,25.84531512,24.05825588
