gcm,fromYear,toYear,variable,Avg temperature a2,Avg temperature b1
bccr_bcm2_0,1920,1939,tas,9.118558017,9.118558017
bccr_bcm2_0,1940,1959,tas,9.19307362,9.19307362
bccr_bcm2_0,1960,1979,tas,9.300936612,9.300936612
bccr_bcm2_0,1980,1999,tas,9.585673939,9.585673939
bccr_bcm2_0,2020,2039,tas,10.2531988,10.19591175
bccr_bcm2_0,2040,2059,tas,10.79410067,10.54244718
bccr_bcm2_0,2060,2079,tas,11.63460471,10.80336692
bccr_bcm2_0,2080,2099,tas,12.65390847,11.30591098
