gcm,fromYear,toYear,variable,Avgtemp a2,Avgtemp b1
bccr_bcm2_0,1920,1939,tas,16.58232197,16.58232197
bccr_bcm2_0,1940,1959,tas,16.58796772,16.58796772
bccr_bcm2_0,1960,1979,tas,16.63620557,16.63620557
bccr_bcm2_0,1980,1999,tas,17.05942174,17.05942174
bccr_bcm2_0,2020,2039,tas,17.86854553,17.71949447
bccr_bcm2_0,2040,2059,tas,18.38629552,18.15030148
bccr_bcm2_0,2060,2079,tas,19.38802057,18.42398473
bccr_bcm2_0,2080,2099,tas,20.65346005,18.86734169
