gcm,fromYear,toYear,variable,Avg temperature a2,Avg temperature b1
bccr_bcm2_0,1920,1939,tas,21.28998718,21.28998718
bccr_bcm2_0,1940,1959,tas,21.22553711,21.22553711
bccr_bcm2_0,1960,1979,tas,21.23869934,21.23869934
bccr_bcm2_0,1980,1999,tas,21.68513489,21.68513489
bccr_bcm2_0,2020,2039,tas,22.23609924,22.18357239
bccr_bcm2_0,2040,2059,tas,22.63237305,22.3664978
bccr_bcm2_0,2060,2079,tas,23.39541016,22.63323975
bccr_bcm2_0,2080,2099,tas,24.44592896,23.11143799
