toYear,fromYear,variable,gcm,Avgtemp-a2,Avgtemp-b1
1939,1920,tas,bccr_bcm2_0,22.44863198,22.44863198
1959,1940,tas,bccr_bcm2_0,22.51752264,22.51752264
1979,1960,tas,bccr_bcm2_0,22.55857572,22.55857572
1999,1980,tas,bccr_bcm2_0,22.96664706,22.96664706
2039,2020,tas,bccr_bcm2_0,23.6011519,23.61005887
2059,2040,tas,bccr_bcm2_0,24.13449652,23.88518039
2079,2060,tas,bccr_bcm2_0,24.95169345,24.23548612
2099,2080,tas,bccr_bcm2_0,26.01807889,24.5683677
