toYear,fromYear,variable,gcm,Avgtemp-a2,Avgtemp-b1
1939,1920,tas,bccr_bcm2_0,6.66190033,6.66190033
1959,1940,tas,bccr_bcm2_0,6.613941956,6.613941956
1979,1960,tas,bccr_bcm2_0,6.317825317,6.317825317
1999,1980,tas,bccr_bcm2_0,6.874694824,6.874694824
2039,2020,tas,bccr_bcm2_0,7.730366516,7.776898193
2059,2040,tas,bccr_bcm2_0,8.407170105,8.025149536
2079,2060,tas,bccr_bcm2_0,9.317124939,8.464167786
2099,2080,tas,bccr_bcm2_0,10.16103363,8.53508606
