toYear,fromYear,variable,gcm,Avgtemp-a2,Avgtemp-b1
1939,1920,tas,bccr_bcm2_0,4.053573456,4.053573456
1959,1940,tas,bccr_bcm2_0,4.030661871,4.030661871
1979,1960,tas,bccr_bcm2_0,4.023561016,4.023561016
1999,1980,tas,bccr_bcm2_0,4.450069095,4.450069095
2039,2020,tas,bccr_bcm2_0,5.153054787,5.16021523
2059,2040,tas,bccr_bcm2_0,5.790111513,5.460285748
2079,2060,tas,bccr_bcm2_0,6.984818532,6.286180986
2099,2080,tas,bccr_bcm2_0,8.146122959,6.632007019
