toYear,fromYear,variable,gcm,Avgtemp-a2,Avgtemp-b1
1939,1920,tas,bccr_bcm2_0,9.936770352,9.936770352
1959,1940,tas,bccr_bcm2_0,9.959588253,9.959588253
1979,1960,tas,bccr_bcm2_0,9.755126953,9.755126953
1999,1980,tas,bccr_bcm2_0,10.04991104,10.04991104
2039,2020,tas,bccr_bcm2_0,10.83489065,10.8098237
2059,2040,tas,bccr_bcm2_0,11.23185036,11.1774181
2079,2060,tas,bccr_bcm2_0,12.05872784,11.54598167
2099,2080,tas,bccr_bcm2_0,13.08898186,11.59907301
