toYear,fromYear,variable,gcm,Avgtemp-a2,Avgtemp-b1
1939,1920,tas,bccr_bcm2_0,19.89441528,19.89441528
1959,1940,tas,bccr_bcm2_0,20.02180612,20.02180612
1979,1960,tas,bccr_bcm2_0,20.05540161,20.05540161
1999,1980,tas,bccr_bcm2_0,20.47445417,20.47445417
2039,2020,tas,bccr_bcm2_0,21.02430682,21.07842146
2059,2040,tas,bccr_bcm2_0,21.61517334,21.36779349
2079,2060,tas,bccr_bcm2_0,22.33425206,21.60668161
2099,2080,tas,bccr_bcm2_0,23.47012591,22.01850412
