toYear,fromYear,variable,gcm,Avgtemp-a2,Avgtemp-b1
1939,1920,tas,bccr_bcm2_0,14.06676969,14.06676969
1959,1940,tas,bccr_bcm2_0,14.17015677,14.17015677
1979,1960,tas,bccr_bcm2_0,14.19826068,14.19826068
1999,1980,tas,bccr_bcm2_0,14.25383504,14.25383504
2039,2020,tas,bccr_bcm2_0,14.98243945,14.95428282
2059,2040,tas,bccr_bcm2_0,15.36945875,15.31132831
2079,2060,tas,bccr_bcm2_0,16.2679018,15.65585327
2099,2080,tas,bccr_bcm2_0,17.22136156,15.7088734
