gcm,fromYear,toYear,variable,Avgtemp a2,Avgtemp b1
bccr_bcm2_0,1920,1939,tas,19.19654764,19.19654764
bccr_bcm2_0,1940,1959,tas,19.1259279,19.1259279
bccr_bcm2_0,1960,1979,tas,19.29203302,19.29203302
bccr_bcm2_0,1980,1999,tas,19.5785341,19.5785341
bccr_bcm2_0,2020,2039,tas,20.45777274,20.2954481
bccr_bcm2_0,2040,2059,tas,21.05945938,20.70617923
bccr_bcm2_0,2060,2079,tas,21.97746813,21.1076289
bccr_bcm2_0,2080,2099,tas,23.17427352,21.35652944
